trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,5,28.99318701305536,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3058169083782893}",30,13,0.08885439278507468,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,10,-47.69913749387316,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
127,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,0,23.70210415382848,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,0,3.762736753370687,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,8,23.0794188374456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,6,-6.272152224086055,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,14,11.683535512185125,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,12,4.349823274191937,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,0,11.774603629164382,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,3,21.636689888886252,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,16,5.730330967887295,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,0,-25.057218412918868,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,9,23.958899277541953,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.17981297767299934}",20,9,-1.2539404149543598,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,10,15.193894548482865,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,10,10.368412099091476,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,11,9.034865237986455,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.1403316058467367}",20,8,-33.7805573712235,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,16,6.790471236724623,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.1205027693673666}",25,0,-38.68689294275768,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
145,False,"{'a': 0.01, 'e': 0.11056977982006957}",20,8,24.596186179165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.10062573338693172}",25,0,38.00719627978493,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.01, 'e': 0.09067162446430967}",30,19,23.898480831293295,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.08070844845480062}",25,0,37.49021396412844,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,8,23.419014413303632,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
